
============================================================
RUNNING EXPERIMENT: CASE = single_inclusion | NOISE = 0pct
Data: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/dtn_data_single_inclusion.npz
============================================================

grid size: 64
number of BC functions (K): 140
boundary coords shape: (252, 2)
Boundary points = 252 -> implies grid_N=64 (since 4N-4=252). Dense solve OK.
Selected linear solver: dense (pref=auto)
Using device: cuda
Saving to: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/train_runs_DtN_new
Max |boundary_coords(data) - boundary_coords(solver)| = 5.960e-08
✅ Boundary ordering already matches solver.

[rep 1/30] sanity training for 50 epochs
[dense] interior unknowns=3844, dense A ~ 56.4 MB (float32)
Training 50 epochs | batch_k=4 | solver=dense
Epoch 590/1000 | loss=3.744e-04 | data=3.744e-04 | reg=0.000e+00
Epoch 600/1000 | loss=8.053e-05 | data=8.053e-05 | reg=0.000e+00
Epoch 610/1000 | loss=2.909e-04 | data=2.909e-04 | reg=0.000e+00
Epoch 620/1000 | loss=4.034e-04 | data=4.034e-04 | reg=0.000e+00
Epoch 630/1000 | loss=2.921e-04 | data=2.921e-04 | reg=0.000e+00
Epoch 640/1000 | loss=1.488e-04 | data=1.488e-04 | reg=0.000e+00
Epoch 650/1000 | loss=9.311e-05 | data=9.311e-05 | reg=0.000e+00
Epoch 660/1000 | loss=1.726e-04 | data=1.726e-04 | reg=0.000e+00
Epoch 670/1000 | loss=2.703e-04 | data=2.703e-04 | reg=0.000e+00
Epoch 680/1000 | loss=1.327e-04 | data=1.327e-04 | reg=0.000e+00
Epoch 690/1000 | loss=2.410e-04 | data=2.410e-04 | reg=0.000e+00
Epoch 700/1000 | loss=5.803e-05 | data=5.803e-05 | reg=0.000e+00
Epoch 710/1000 | loss=5.789e-04 | data=5.789e-04 | reg=0.000e+00
Epoch 720/1000 | loss=7.416e-05 | data=7.416e-05 | reg=0.000e+00
Epoch 730/1000 | loss=3.277e-04 | data=3.277e-04 | reg=0.000e+00
Epoch 740/1000 | loss=1.589e-04 | data=1.589e-04 | reg=0.000e+00
Epoch 750/1000 | loss=1.849e-04 | data=1.849e-04 | reg=0.000e+00
Epoch 760/1000 | loss=6.253e-04 | data=6.253e-04 | reg=0.000e+00
Epoch 770/1000 | loss=1.270e-04 | data=1.270e-04 | reg=0.000e+00
Epoch 780/1000 | loss=1.723e-04 | data=1.723e-04 | reg=0.000e+00
Epoch 790/1000 | loss=2.735e-04 | data=2.735e-04 | reg=0.000e+00
Epoch 800/1000 | loss=1.192e-04 | data=1.192e-04 | reg=0.000e+00
Epoch 810/1000 | loss=4.277e-05 | data=4.277e-05 | reg=0.000e+00
Epoch 820/1000 | loss=9.162e-05 | data=9.162e-05 | reg=0.000e+00
Epoch 830/1000 | loss=4.851e-04 | data=4.851e-04 | reg=0.000e+00
Epoch 840/1000 | loss=1.993e-04 | data=1.993e-04 | reg=0.000e+00
Epoch 850/1000 | loss=4.121e-04 | data=4.121e-04 | reg=0.000e+00
Epoch 860/1000 | loss=3.939e-03 | data=3.939e-03 | reg=0.000e+00
Epoch 870/1000 | loss=3.130e-04 | data=3.130e-04 | reg=0.000e+00
Epoch 880/1000 | loss=2.236e-04 | data=2.236e-04 | reg=0.000e+00
Epoch 890/1000 | loss=5.617e-05 | data=5.617e-05 | reg=0.000e+00
Epoch 900/1000 | loss=2.717e-04 | data=2.717e-04 | reg=0.000e+00
Epoch 910/1000 | loss=4.059e-04 | data=4.059e-04 | reg=0.000e+00
Epoch 920/1000 | loss=1.344e-04 | data=1.344e-04 | reg=0.000e+00
Epoch 930/1000 | loss=7.701e-04 | data=7.701e-04 | reg=0.000e+00
Epoch 940/1000 | loss=3.193e-04 | data=3.193e-04 | reg=0.000e+00
Epoch 950/1000 | loss=1.826e-04 | data=1.826e-04 | reg=0.000e+00
Epoch 960/1000 | loss=2.443e-04 | data=2.443e-04 | reg=0.000e+00
Epoch 970/1000 | loss=1.341e-04 | data=1.341e-04 | reg=0.000e+00
Epoch 980/1000 | loss=5.022e-04 | data=5.022e-04 | reg=0.000e+00
Epoch 990/1000 | loss=2.772e-04 | data=2.772e-04 | reg=0.000e+00
Epoch 1000/1000 | loss=1.050e-04 | data=1.050e-04 | reg=0.000e+00
Done. Time(s): 767.99
Saved: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/train_runs_DtN_new/gammaNN_DtN_steps_36750.pth

[rep 3/30] training for 1000 epochs
[dense] interior unknowns=3844, dense A ~ 56.4 MB (float32)
Training 1000 epochs | batch_k=4 | solver=dense
Epoch 10/1000 | loss=4.438e-04 | data=4.438e-04 | reg=0.000e+00
Epoch 20/1000 | loss=6.456e-05 | data=6.456e-05 | reg=0.000e+00
Epoch 30/1000 | loss=8.165e-05 | data=8.165e-05 | reg=0.000e+00
Epoch 40/1000 | loss=5.159e-04 | data=5.159e-04 | reg=0.000e+00
Epoch 50/1000 | loss=6.466e-05 | data=6.466e-05 | reg=0.000e+00
Epoch 60/1000 | loss=1.952e-04 | data=1.952e-04 | reg=0.000e+00
Epoch 70/1000 | loss=1.017e-03 | data=1.017e-03 | reg=0.000e+00
Epoch 80/1000 | loss=4.579e-04 | data=4.579e-04 | reg=0.000e+00
Epoch 90/1000 | loss=4.560e-04 | data=4.560e-04 | reg=0.000e+00
